"variable","n_valid","pct_valid"
"year",3309,100
"marital",3294,99.5
"sex",3290,99.4
"educ",3286,99.3
"attend",3276,99
"relig",3269,98.8
"pray",3269,98.8
"partyid",3268,98.8
"race",3244,98
"natroad",3244,98
"age",3208,96.9
"natsoc",3200,96.7
"natchld",3191,96.4
"natenrgy",3183,96.2
"polviews",3160,95.5
"natsci",3140,94.9
"income",2931,88.6
"immjobs",2213,66.9
"gunlaw",2191,66.2
"immcrime",2190,66.2
"xmarsex",2189,66.2
"colath",2180,65.9
"colrac",2177,65.8
"colmslm",2174,65.7
"fechld",2168,65.5
"confinan",2164,65.4
"coneduc",2164,65.4
"fefam",2162,65.3
"eqwlth",2161,65.3
"god",2160,65.3
"conmedic",2159,65.2
"conarmy",2155,65.1
"contv",2154,65.1
"fepresch",2153,65.1
"pornlaw",2150,65
"conlegis",2148,64.9
"confed",2145,64.8
"conjudge",2145,64.8
"conpress",2142,64.7
"abany",2140,64.7
"conbus",2139,64.6
"wrkwayup",2130,64.4
"homosex",2125,64.2
"teensex",2123,64.2
"conclerg",2122,64.1
"consci",2121,64.1
"premarsx",2115,63.9
"cappun",2067,62.5
"affrmact",2010,60.7
"nateduc",1662,50.2
"natheal",1645,49.7
"natenvir",1643,49.7
"natcrime",1638,49.5
"natdrug",1637,49.5
"natfare",1635,49.4
"natarms",1626,49.1
"nataid",1617,48.9
"natcity",1591,48.1
"natrace",1591,48.1
"natspac",1580,47.7
"abhlth",1555,47
"immameco",1533,46.3
"abpoor",1531,46.3
"abrape",1529,46.2
"abdefect",1526,46.1
"absingle",1525,46.1
"abnomore",1522,46
"bible",1429,43.2
"postlife",1283,38.8
"spkath",1133,34.2
"spkrac",1128,34.1
"libmslm",1126,34
"librac",1123,33.9
"libath",1120,33.8
"spkmslm",1118,33.8
"libcom",1113,33.6
"spkcom",1107,33.5
"colcom",1091,33
"polhitok",1090,32.9
"conlabor",1060,32
"grncon",1056,31.9
"trust",946,28.6
"helpful",939,28.4
"prayer",900,27.2
"fepol",892,27
"grass",862,26.1
"courts",812,24.5
"tempgen",529,16
"racopen",462,14
"feelblks",0,0
"feelasns",0,0
"feelhsps",0,0
"feelwhts",0,0
"racmar",0,0
"racdin",0,0
"racpush",0,0
"racseg",0,0
"racobjct",0,0
"racschol",0,0
"racfew",0,0
"rachaf",0,0
"racmost",0,0
"busing",0,0
"racpres",0,0
"racjob",0,0
"racnobuy",0,0
"racparty",0,0
"racocc",0,0
"racinc",0,0
"blksimp",0,0
"natmass",0,0
"natpark",0,0
"taxrich",0,0
"taxmid",0,0
"taxpoor",0,0
"govcare",0,0
"goveqinc",0,0
"govedop",0,0
"govjobs",0,0
"govunemp",0,0
"incgap",0,0
"workfare",0,0
"lessfare",0,0
"spksoc",0,0
"colsoc",0,0
"libsoc",0,0
"spkmil",0,0
"colmil",0,0
"libmil",0,0
"spkhomo",0,0
"colhomo",0,0
"libhomo",0,0
"wirtap",0,0
"fehome",0,0
"fework",0,0
"fepres",0,0
"fehelp",0,0
"era",0,0
"febear",0,0
"feworkif",0,0
"gochurch",0,0
"letin",0,0
"immrghts",0,0
"scisolve",0,0
"scichng",0,0
